Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts POS Replicate 1	Raw Counts POS Replicate 2	Raw Counts POS Replicate 3	Normalized Counts POS Replicate 1	Normalized Counts POS Replicate 2	Normalized Counts POS Replicate 3	RPKM POS	Variance POS	Lowess POS	Expression POS	Raw Counts NEG Replicate 1	Raw Counts NEG Replicate 2	Normalized Counts NEG Replicate 1	Normalized Counts NEG Replicate 2	RPKM NEG	Variance NEG	Lowess NEG	Expression NEG	pValue POS vs NEG	qValue POS vs NEG
	927470	926304		-	-	CCNA_00851	periplasmic multidrug efflux lipoprotein precursor	233146	356	1949	533673	1236	11338	36	14477931536514	4230127966261	156	78753	50	147483	819	13	1091290730368	343712497911	63	0.6355943049950262	1.0
	927638	928252		+	-	CCNA_00852	TetR family transcriptional regulator	44415	559	4300	101666	1941	25015	14	210150772463	135559817226	69	41999	0	78652	0	13	244606196432	101802601938	63	0.5135382479929668	1.0
	929016	928249		-	-	CCNA_00853	3-isopropylmalate dehydrogenase	6400	47	1550	14649	163	9017	1	1872096945	5738057676	10	6900	0	12921	0	1	3205344492	3549172515	8	0.5405507373129006	1.0
	929146	930738		+	-	CCNA_00854	metallo-beta-lactamase protein	2550	7650	2850	5836	26574	16580	1	4345058842	18999283312	10	8500	50	15918	819	1	4658430834	6799696247	5	0.6353026773522819	1.0
	931592	930735		-	-	CCNA_00855	rhamnogalacturonan acetylesterase	0	0	0	0	0	0	0	0	356	0	7600	0	14232	0	1	4042055286	4985849918	8	1.0	1.0
	933355	931733		-	-	CCNA_00856	beta-xylosidase	16599	0	2150	37995	0	12507	2	19443038757	19957676334	10	0	4350	0	71299	0	193269916151	83375241391	21	0.6325280681547686	1.0
	934963	933527		-	-	CCNA_00857	glucose/fructose transport protein	46649	7250	16050	106780	25184	93373	8	137557522844	480174033541	52	17399	2150	32583	35240	2	71995244	75465492945	23	0.631239163763475	1.0
	935330	937543		+	-	CCNA_00858	TonB-dependent receptor	338833	30748	20918	775592	106812	121694	32	24927016688234	20063144496836	151	258937	8478	484918	138960	24	8558942561023	9284820641450	140	0.5057031955553988	1.0
	938563	937676		-	-	CCNA_00859	acetyltransferase, GNAT family	73947	21800	6597	169265	75728	38379	20	388276618767	758432633078	106	68398	1700	128090	27864	16	437639950897	390662893183	87	0.5298032241887247	1.0
	938855	938619		-	hfiA	CCNA_00860	holdfast inhibitor protein HfiA	151112	51201	20950	345896	177861	121880	170	1445257271529	6224322459336	908	27302	8534	51129	139878	30	326855900244	656941140363	402	0.6354007036367288	1.0
938932			939706	+	-	CCNA_R0124	small non-coding RNA	96040	6601	2150	219836	22930	12507	24	1451918750412	617065784166	109	17049	0	31928	0	4	28104516656	22456651844	20	0.08220354210598405	0.6662727569502873
	939557	938979		-	-	CCNA_00861	hypothetical protein	1900	0	0	4349	0	0	0	144407293	168105220	2	7450	50	13951	819	2	3332407497	5525347242	12	0.08398264578820154	0.6766649073861998
	941471	939696		-	xylD	CCNA_00862	xylonate dehydratase xylD	11052	7550	2250	25298	26227	13089	2	1890176073	30849415270	12	2800	5300	5243	86871	0	267410206358	134906977385	25	0.6309472062239455	1.0
	942333	941464		-	xylC	CCNA_00863	xylonolactonase xylC	32684	7150	2550	74814	24837	14835	8	65567203568	98905952588	43	73678	13249	137978	217161	20	248588303001	2378665487305	204	0.09131957331946249	0.7271743801364606
	943204	942458		-	xylB	CCNA_00864	xylose dehydrogenase xylB	8351	0	4249	19115	0	24719	3	7417823838	15919749545	19	4800	50	8989	819	1	1066834227	1865138908	6	0.6778469934403846	1.0
	944646	943210		-	xylA	CCNA_00865	alpha-ketoglutaric semialdehyde dehydrogenase xylA	3900	7950	5752	8927	27616	33463	2	7220988118	36055924080	16	1319	2400	2470	39337	0	39691245124	32892763860	14	0.5248149677293367	1.0
	945817	944663		-	xylX	CCNA_00866	fumarylacetoacetate hydrolase family protein	5902	6250	0	13509	21711	0	1	4964062454	11468086330	10	13800	3500	25843	57367	3	27258576379	113087311886	36	0.6978401789947004	1.0
	946004	946492		+	-	CCNA_00867	hypothetical protein	43687	0	2599	100000	0	15120	17	226919540526	100305643278	78	6099	100	11421	1639	2	1643578250	3706705325	13	0.045581031163286795	0.40833007083777756
	946747	947268		+	-	CCNA_03889	conserved hypothetical protein	2697	9765	2900	6173	33921	16871	5	8918849302	24492859166	36	16750	2250	31368	36879	7	414683741	76399033628	65	0.6061594167382491	1.0
	950383	947426		-	-	CCNA_00869	DNA modification methyltransferase-related protein	68473	27500	30949	156735	95529	180051	7	136787446278	2207659445408	48	85710	15408	160511	252548	6	356676006305	3392146294248	69	0.5795756334857692	1.0
	950886	950449		-	-	CCNA_00870	conserved hypothetical protein	57808	10705	26048	132323	37186	151538	39	308148319372	983247218223	244	123236	9898	230787	162235	61	175878323327	3011188715930	448	0.6185753117431263	1.0
	951757	950906		-	-	CCNA_00871	carbon-nitrogen hydrolase family protein	25494	11099	13638	58356	38555	79341	10	22024246604	289994056282	68	12021	3669	22512	60137	3	41678072540	111722821174	48	0.5605591572692251	1.0
	952008	951754		-	-	CCNA_00872	glutaredoxin	60836	100	45414	139254	347	264203	75	1946680403657	1827469939111	527	111399	55745	208620	913702	132	47264940093161	34826164579925	2200	0.7547140573302451	1.0
	952834	952037		-	-	CCNA_00873	amidophosphoribosyltransferase family protein	12549	0	9270	28724	0	53929	4	43116235726	49065681154	34	6249	0	11702	0	1	2526901017	2766767015	7	0.32962938354366894	1.0
	952833	953744		+	bioC	CCNA_00874	biotin synthesis protein bioC	28097	42060	71321	64314	146107	414922	28	4288685292344	5808002301788	228	34661	8156	64910	133683	9	177242199985	722270813978	108	0.6261745630003767	1.0
	953924	953751		-	-	CCNA_00875	Flp/Fap pilin component protein	1850	0	0	4234	0	0	1	135411800	156812991	8	1530	0	2865	0	1	86270670	178386707	8	0.49969729164057614	1.0
	954307	953903		-	-	CCNA_00876	7,8-dihydro-8-oxoguanine-triphosphatase	1400	0	0	3204	0	0	0	69361186	75892076	2	0	0	0	0	0	0	244	0	1.0	1.0
	954947	954339		-	-	CCNA_00877	hypothetical protein	9948	50	10499	22771	173	61079	6	59175745304	50502888520	45	0	5501	0	90165	1	339512035308	130086395830	74	0.5863350258466635	1.0
	955220	956650		+	-	CCNA_00878	ATP-dependent RNA helicase	2106500	16902	14554	4821800	58714	84670	271	2828489210701481	1009949777122258	1156	1692938	10330	3170414	169316	241	1528397895450441	522346683012165	1166	0.49259670050522697	1.0
	956807	959071		+	-	CCNA_00879	PAS-family sensor histidine kinase	229384	17391	14349	525062	60412	83477	20	10077952096827	6731800545439	98	558120	2750	1045207	45074	50	109371110761117	32376349198339	240	0.6808079560096908	1.0
	960950	959391		-	-	CCNA_00880	conserved hypothetical protein	39567	40711	15401	90569	141421	89597	11	54031628766	987287905168	68	21399	1900	40074	31142	3	1321420134	83175252798	22	0.661544143173624	1.0
	961699	960947		-	-	CCNA_00881	ABC transporter ATP-binding protein	39366	12099	16536	90109	42029	96201	16	54164548646	493422736192	101	45151	87	84555	1425	12	279371872323	119850918634	57	0.5977370056333519	1.0
	962853	961855		-	-	CCNA_00882	hypothetical protein	366034	401242	375309	837855	1393830	2183425	207	98200480846481	726855575761199	1473	253714	45011	475137	737764	60	4417519749361	42128382909339	607	0.6677616399628111	1.0
	963803	963045		-	-	CCNA_00883	3-demethylubiquinone 3-methyltransferase	33469	0	0	76610	0	0	8	141169086405	42873064114	33	25199	0	47190	0	6	71780082115	38935600189	31	0.5167827254208968	1.0
	964192	963806		-	-	CCNA_00884	VapC-like PIN domain ribonuclease toxin	43923	50	0	100540	173	0	20	270502839866	73222354653	86	9644	50	18060	819	5	6404922681	8520460306	24	0.7113653425184204	1.0
	964730	964182		-	-	CCNA_00885	MazE-like antitoxin protein	748174	6339	15061	1712578	22020	87619	254	226421261571015	79540514448305	1106	429326	7444	804011	122012	161	43636004319259	21807595083043	843	0.5486943909871487	1.0
	964937	966184		+	-	CCNA_00886	aspartokinase	19851	0	750	45439	0	4363	2	36137912243	19511333780	13	21547	0	40351	0	3	49296300753	31358225133	16	0.5355860636297376	1.0
	966367	966831		+	-	CCNA_00887	hypothetical protein	11479	0	7	26275	0	40	4	10803494555	6838133174	18	659	0	1234	0	0	11426688	22365302	1	1.0444138784766468E-13	2.9627990927618766E-12
	966956	967309		+	-	CCNA_00888	MCP-signal associated domain protein	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	244	0	1.0	1.0
	967756	967313		-	-	CCNA_00889	lumazine-binding domain protein	223227	21479	16201	510968	74613	94252	106	8713144059693	6980251175184	510	99947	1389	187173	22766	46	1435399320891	818326107122	236	0.6308129253874808	1.0
	968767	967847		-	-	CCNA_00890	poly(3-hydroxyalkanoate) depolymerase	15025	11210	14409	34392	38941	83826	8	44426769172	227372131198	56	0	4520	0	74086	0	211899903384	90124872520	40	0.5596755581162343	1.0
	968889	969827		+	-	CCNA_00891	transporter, drug/metabolite exporter family	3950	5451	5299	9041	18935	30827	2	4904706967	25874508398	20	0	0	0	0	0	0	244	0	1.0	1.0
970059			970156	+	-	CCNA_R0020	complex medium expressed sRNA	118731	1884	1228	271776	6544	7144	225	2773186659715	769691949915	970	8647	0	16193	0	17	5509974199	6456398392	82	6.398518872147166E-6	1.156546442155804E-4
	970314	972578		+	ptsP	CCNA_00892	phosphoenolpyruvate-protein phosphotransferase PtsP	1463152	245	13865	3349170	851	80662	118	1187871304221188	355355283810971	504	483908	11305	906228	185297	44	49855019053212	32468332394545	240	0.6417122892990871	1.0
	972738	973802		+	-	CCNA_00893	helix-turn-helix DNA-binding protein	71073	6050	3669	162686	21016	21345	13	615619794748	392781830686	64	10450	4100	19570	67202	2	73404243418	121787615020	40	0.5783370830885183	1.0
	973984	975135		+	-	CCNA_00894	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	344956	449983	516558	789607	1563146	3005166	206	332864353355144	1236776168845465	1550	211973	18500	396968	303228	40	372721017682	12170386306702	303	0.49697031819934123	1.0
	975146	975541		+	-	CCNA_00895	conserved hypothetical protein	32095	17749	29408	73465	61656	171086	36	294190901397	884381584240	257	17566	252	32896	4130	9	21881381993	27815820493	46	0.05630737424643441	0.48424341851933594
	975920	975549		-	-	CCNA_00896	conserved hypothetical protein	4778	0	1399	10936	0	8138	3	1024813252	4094608157	17	264	0	494	0	0	1269722	2057229	0	4.214658236102383E-85	2.1255406042565723E-83
	976013	976177		+	-	CCNA_00897	hypothetical protein	271886	3450	50	622349	11984	290	302	21035246378792	5996254855048	1282	23226	150	43496	2458	28	51334679431	37454585242	139	7.210878363727319E-5	0.0011461649072305876
	977020	976253		-	-	CCNA_00898	ribosomal large subunit pseudouridine synthase F	6235	6950	0	14271	24142	0	3	6337565345	13129984527	16	7247	0	13571	0	1	3606055854	4149787759	8	0.6246446620584817	1.0
	978094	977024		-	-	CCNA_00899	bacterial peptide chain Release factor 1 (RF-1)	10496	1550	2900	24025	5384	16871	2	3435236548	17326373278	14	4043	1250	7571	20488	1	3202963512	18184247828	13	0.47516463541572995	1.0
	978293	980500		+	-	CCNA_00900	CHASE4-family GGDEF/EAL protein	38880	4197	5350	88996	14579	31124	3	104842728370	154873426403	20	31997	1100	59921	18029	3	53935987294	99999288207	17	0.5228378271586333	1.0
	981606	980770		-	-	CCNA_00901	alpha/beta hydrolase family protein	10350	2369	12347	23691	8229	71830	5	70760606149	78284822864	41	0	0	0	0	0	0	244	0	1.0	1.0
	981935	982915		+	ibpA	CCNA_00902	inositol ABC transporter, periplasmic inositol-binding protein IbpA	11529	2852	1700	26390	9907	9890	2	3538989673	17270487826	15	8747	0	16380	0	1	5663923240	6573430993	8	0.6287646667818236	1.0
	982938	984485		+	iatA	CCNA_00903	inositol transport ATP-binding protein IatA	14891	8050	0	34085	27964	0	2	16693322519	28507836407	13	9240	0	17304	0	1	6461236245	7177819533	5	0.6671385185376503	1.0
	984482	985480		+	iatP	CCNA_00904	inositol ABC transport system, permease protein IatP	1203	3570	1250	2753	12401	7272	1	693220631	5144923092	7	3191	0	5975	0	0	503471629	680372564	2	0.6557200451639256	1.0
	986396	985509		-	-	CCNA_00905	exonuclease-endonuclease-phosphatase (EEP1) protein	3600	0	0	8240	0	0	0	669390921	785430624	3	150	0	280	0	0	325044	524217	0	3.9992797812436206E-57	1.0
	987380	986466		-	-	CCNA_00906	conserved hypothetical protein	5452	12329	0	12479	42828	0	3	26489489658	23275396885	20	19155	2050	35872	33601	4	49395254	79093761341	37	0.6142498890241825	1.0
	988105	987377		-	-	CCNA_00907	conserved hypothetical protein	13346	46235	24325	30549	160610	141514	20	428211708985	1077626247067	152	100891	60400	188941	990001	44	64203708798141	39406510798027	808	0.0826969469576404	0.6689446105385367
	989181	988042		-	-	CCNA_00908	3-oxoacyl-(acyl-carrier-protein) synthase III	17029	20456	3949	38979	71059	22973	6	34153193379	149382496692	38	5549	0	10391	0	0	1899947662	2119976749	4	6.163206506076839E-4	0.008563502917457106
	990003	989266		-	-	CCNA_00909	conserved hypothetical protein	5097	0	0	11667	0	0	1	1542256357	1634126321	5	0	0	0	0	0	0	244	0	1.0	1.0
	991266	990076		-	-	CCNA_00910	erythromycin esterase family protein	2803	3900	2300	6416	13547	13380	1	460212189	10439739729	9	15950	2653	29870	43484	3	3633538751	88267967012	30	0.6947051256684388	1.0
	991919	991329		-	-	CCNA_00911	AAA domain ATPase	2340	0	272	5356	0	1582	0	179911498	535567824	3	237	0	443	0	0	977542	1666517	0	1.3778292960987813E-11	1.0
	992983	991916		-	-	CCNA_00912	beta-lactamase family protein	136982	48998	27345	313553	170208	159084	36	699242040827	6165642858768	200	78859	112958	147681	1851466	36	392789167591174	134244635034911	935	0.7517111467573715	1.0
	993209	993033		-	-	CCNA_00913	hypothetical protein	186220	124516	180828	426259	432542	1051998	503	21557182207768	87405865957654	3598	284	361	531	5917	0	392467087	754284410	18	0.0	0.0
	993815	993288		-	-	CCNA_00914	acetyltransferase	8774	0	0	20083	0	0	3	5678623885	4401523854	12	0	1700	0	27864	0	20270679762	17970908430	26	0.6433987521811988	1.0
	993947	994708		+	-	CCNA_00915	Molybdenum cofactor sulfurase related protein	128830	5750	16050	294893	19974	93373	35	2333701286343	1882220024124	178	34479	50	64569	819	9	147746247396	70285168592	42	0.40996564541347863	1.0
	994999	994709		-	parE-1	CCNA_00916	toxin protein parE-1	43459	7680	2650	99478	26678	15416	33	152132655445	177139181033	162	14600	1476	27341	24192	11	108237672	45209014219	88	0.6061385378584673	1.0
	995262	994996		-	parD-1	CCNA_00917	antitoxin protein parD-1	60622	0	0	138764	0	0	41	587379572826	167979156716	173	18148	0	33986	0	13	32650071192	24651405305	63	0.675287617811532	1.0
	995336	996205		+	-	CCNA_00918	peptide release factor-glutamine N5-methyltransferase	16479	0	3333	37720	0	19390	4	18257328172	24599502960	21	13500	50	25281	819	3	14830121653	16068444404	15	0.582886407502203	1.0
	996243	996467		+	-	CCNA_00919	hypothetical protein	307533	2440	2436	703946	8476	14171	251	27840225488920	8176606829781	1076	160210	4643	300029	76102	148	3013141406277	2721811245195	835	0.5404077539604533	1.0
	996464	997576		+	-	CCNA_00920	conserved hypothetical protein	113735	100	250	260340	347	1454	18	2637231456728	649701189102	78	137384	1850	257283	30322	25	3112052911895	1515742876303	129	0.600287087823279	1.0
	997744	998499		+	-	CCNA_00921	zinc metalloprotease	10057	0	12600	23020	0	73302	5	94906747177	66320819581	42	45195	6860	84638	112440	13	20162598349	709187265907	130	0.6747711972349123	1.0
	998598	1001177		+	clpB	CCNA_00922	ClpB protein	287935	142673	175318	659086	495616	1019942	42	10681364976057	119598292951394	280	613768	67393	1149421	1104622	53	63358950235	187900397196373	436	0.6034975657193677	1.0
	1001397	1001729		+	-	CCNA_00923	hypothetical protein	23047	8100	2400	52754	28137	13962	18	20088465733	64110577430	94	7949	0	14886	0	4	4502266935	5672187869	22	0.7805476329360417	1.0
	1002017	1001739		-	-	CCNA_00924	MarR/EmrR family transcriptional regulator	1890	7250	2050	4326	25184	11926	7	4533263034	14637506757	49	0	0	0	0	0	0	244	0	1.0	1.0
	1002560	1002018		-	-	CCNA_00925	conserved hypothetical protein	910	0	0	2082	0	0	0	24649506	28521101	1	0	1050	0	17210	0	6377318304	7113472686	15	3.5943566695855294E-10	8.342583520032323E-9
	1003636	1002665		-	-	CCNA_00926	acyl CoA thioesterase	6900	0	0	15794	0	0	1	3190330085	2964019784	5	0	0	0	0	0	0	244	0	1.0	1.0
	1004418	1003804		-	-	CCNA_00927	hypothetical protein	10391	0	1650	23785	0	9599	3	6124586874	10463919222	18	18097	0	33890	0	5	32429165298	24551142062	27	0.5830673774599975	1.0
	1005102	1004428		-	-	CCNA_00928	GntR family transcriptional regulator	151211	85094	47347	346123	295598	275449	76	88489790389	15449175273364	452	12600	7250	23596	118832	5	387156679513	310822554981	105	0.18132871451770666	1.0
	1005247	1006242		+	-	CCNA_00929	Riboflavin-specific deaminase family protein	749383	521293	508911	1715345	1810862	2960678	324	104198423142199	1844040596402321	2170	493836	35379	924821	579888	107	8498208746834	67871295327543	755	0.6947859434621926	1.0
	1006253	1006870		+	-	CCNA_00930	riboflavin synthase alpha chain	732893	1212053	2340607	1677599	4210417	13616888	1258	20743919103540376	27133001301814472	10520	190132	38358	356065	628716	75	4833047160067	25339725867999	796	4.3149559933948275E-7	8.540353102462113E-6
	1006846	1008048		+	-	CCNA_00931	GTP cyclohydrolase II/3,4-dihydroxy-2-butanone-4-phosphate synthase	821211	377722	545003	1879760	1312127	3170649	263	223458210957946	1756593713939575	1762	1928580	591074	3611708	9688149	424	8308493610434900	11206812793382416	5527	0.7450940977499538	1.0
	1008064	1008525		+	ribH	CCNA_00932	6,7-dimethyl-8-ribityllumazine synthase	139127	109058	193027	318463	378844	1122968	173	36578646526163	79383766258694	1313	73998	15475	138578	253646	39	609614039657	2997155760915	424	0.6754693153703349	1.0
	1008616	1010022		+	-	CCNA_00933	M28 Zn-Peptidase	48059	23175	41247	110007	80505	239961	14	673927992133	2180108901276	101	65013	9350	121751	153253	10	27212942900	1394445181622	97	0.5006597062874494	1.0
	1010073	1010594		+	-	CCNA_00934	conserved hypothetical protein	6900	0	150	15794	0	872	2	2991687458	3309382360	10	0	0	0	0	0	0	244	0	1.0	1.0
	1011679	1010693		-	-	CCNA_00935	AraC-family transcriptional regulator	2608	0	3200	5969	0	18616	1	3524874140	6072169710	8	0	0	0	0	0	0	244	0	1.0	1.0
	1011810	1012649		+	-	CCNA_00936	conserved hypothetical protein	1200	0	400	2746	0	2327	0	40567299	252551765	2	0	0	0	0	0	0	244	0	1.0	1.0
	1012924	1012655		-	-	CCNA_00937	acetyltransferase	2701	5400	1800	6182	18758	10471	6	1360497083	11570319171	43	0	2200	0	36059	1	37635425818	26807287520	66	0.5834102439981196	1.0
	1014273	1013086		-	-	CCNA_00938	acetyl-CoA acetyltransferase	67503	23092	10100	154515	80216	58758	15	191743302115	813193141971	82	31046	1750	58140	28683	5	23164153874	121910071805	36	0.63168138762311	1.0
1014431			1014360	-	-	CCNA_R0125	small non-coding RNA	11143	0	0	25506	0	0	28	10078505732	6471737521	118	0	0	0	0	0	0	244	0	1.0	1.0
	1014509	1015012		+	-	CCNA_00939	MarR-family transcriptional regulator	15749	0	0	36049	0	0	5	23120553483	11917408242	23	7300	0	13670	0	2	3669513080	4315241526	13	0.6130247860757214	1.0
	1015105	1017138		+	-	CCNA_00940	sensory box GGDEF/EAL protein	10050	4350	0	23004	15110	0	1	5789955359	12981426734	6	7799	0	14605	0	0	4300983285	5328953985	3	0.6141439341347275	1.0
	1018374	1017151		-	-	CCNA_00941	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	42495	45316	43040	97271	157418	250392	19	536457336038	3461851755396	137	17701	7400	33149	121291	4	321516278938	380964586550	63	0.6235648299661435	1.0
	1019351	1018428		-	flgL	CCNA_00942	flagellar hook-associated protein FlgL	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	244	0	1.0	1.0
	1021466	1019355		-	flaN	CCNA_00943	flagellar hook-associated protein FlaN	12550	0	0	28727	0	0	1	13407603375	7989573242	4	0	0	0	0	0	0	244	0	1.0	1.0
	1021586	1021470		-	-	CCNA_03944	hypothetical protein	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	244	0	1.0	1.0
	1021867	1023069		+	-	CCNA_00944	flagellar hook length determination protein	8009	761	12656	18332	2643	73628	3	93709606216	63735607118	26	70293	33895	131639	555564	17	13939836322145	11674704375548	285	2.481280761223898E-7	5.017837579009714E-6
	1022922	1023653		+	-	CCNA_00945	chemotaxis protein MotD	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	244	0	1.0	1.0
	1023665	1024348		+	flgD	CCNA_00946	Basal-body rod modification protein FlgD	550	0	50	1258	0	290	0	5820030	14738573	0	9139	7649	17114	125372	4	526584418161	311130296786	104	0.0	0.0
	1024495	1026270		+	flgE	CCNA_00947	flagellar hook protein FlgE	3849	7450	0	8810	25879	0	1	7691329023	11178050788	6	0	3100	0	50811	0	85716136308	44021970261	14	0.6476752143731523	1.0
	1026439	1026720		+	sciP	CCNA_00948	CtrA inhibitory protein SciP	1900	4012	2100	4349	13936	12217	5	795311412	8892238577	36	0	1177	0	19291	0	8387168826	8932391815	34	0.48312738746546924	1.0
	1026741	1026965		+	-	CCNA_00949	hypothetical protein	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	244	0	1.0	1.0
	1026984	1028648		+	fliF	CCNA_00950	flagellar M-ring protein FliF	15350	0	0	35136	0	0	1	21740025971	11423420473	7	5964	0	11168	0	0	2258941467	2476792567	3	0.6349959871796217	1.0
	1028648	1029670		+	fliG	CCNA_00951	flagellar motor switch protein FliG	1250	0	0	2861	0	0	0	52856387	58243207	0	7450	2100	13951	34420	1	9669319458	40449217445	23	5.519708832685694E-45	2.324537173352687E-43
	1029681	1030319		+	flbE	CCNA_00952	flagellar assembly protein FlbE/FliH	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	244	0	1.0	1.0
	1030335	1030667		+	fliN	CCNA_00953	flagellar motor switch protein FliN	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	244	0	1.0	1.0
	1030701	1032068		+	flbD	CCNA_00954	AAA-family response regulator flbD	4100	0	200	9384	0	1163	0	796686930	1351617539	2	8300	0	15543	0	1	4993989675	6061140012	5	0.6567182408955347	1.0
	1032336	1034438		+	flhA	CCNA_00956	flagellar biosynthesis protein FlhA	5000	6349	357	11445	22055	2076	1	3977176194	11659946034	5	11650	0	21817	0	1	11268654985	11538153826	5	0.5197412885695223	1.0
	1034478	1035959		+	-	CCNA_00957	porin O precursor	5800	10950	12556	13276	38038	73046	3	55740116924	123157763927	27	0	3599	0	58990	0	122640003999	57998600969	19	0.5620475743680705	1.0
	1037278	1035956		-	-	CCNA_00958	conserved hypothetical protein	5769	0	2150	13205	0	12507	1	1951908686	6564684884	6	0	0	0	0	0	0	244	0	1.0	1.0
	1037402	1038040		+	-	CCNA_00959	TetR-family transcriptional regulator	2403	10445	7289	5500	36283	42405	5	20457168953	50678328252	43	0	0	0	0	0	0	244	0	1.0	1.0
	1038075	1038479		+	-	CCNA_00961	hypothetical protein	1750	0	0	4005	0	0	0	118495141	133807717	3	0	0	0	0	0	0	244	0	1.0	1.0
	1038926	1038480		-	-	CCNA_00962	MarR-family transcriptional regulator	6401	0	0	14651	0	0	2	2664010567	2576134654	10	9300	2100	17416	34420	5	6195646581	45693252180	57	0.46942983056142185	1.0
	1039353	1038937		-	-	CCNA_00963	organic hydroperoxide resistance protein	18850	0	0	43147	0	0	8	35590652104	15542628277	34	4386	2950	8213	48352	3	48676990752	53642880026	67	0.6255704144472134	1.0
	1039740	1039648		-	-	CCNA_00964	gluconate kinase	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	244	0	1.0	1.0
	1040613	1039915		-	-	CCNA_00965	DnaJ-family chaperone protein	1650	0	0	3776	0	0	0	102880089	114522108	1	0	0	0	0	0	0	244	0	1.0	1.0
	1040719	1041387		+	-	CCNA_00966	pyridoxamine 5'-phosphate oxidase	183154	129835	58313	419241	451019	339246	100	266011846130	32122354454548	602	566937	119948	1061719	1966038	208	85888689962919	413103114718851	2262	0.7530770536811137	1.0
	1042019	1041399		-	-	CCNA_00967	TetR-family transcriptional regulator	35278	8249	24753	80751	28655	144004	19	267906900718	608255464534	136	17948	50	33611	819	5	29964496044	25111970111	27	0.28338330665764316	1.0
	1042164	1043663		+	-	CCNA_00968	gluconate kinase	25146	0	0	57559	0	0	3	71076538731	24936602239	12	12950	0	24251	0	1	14524967522	14093856080	8	0.5986423723951955	1.0
	1045882	1044122		-	-	CCNA_00969	two component sensor histidine kinase	8200	5950	0	18769	20669	0	1	5480175387	13635839940	7	0	1850	0	30322	0	24830349320	20676615529	8	0.5256765116065684	1.0
	1046120	1049140		+	-	CCNA_00970	long-chain-fatty-acid--CoA ligase	78182	75742	104012	178959	263111	605107	15	7054709804149	22531045131844	115	191845	190127	359273	3116325	25	1246900797490634	564735730532457	575	0.7775956069471032	1.0
	1050041	1049148		-	-	CCNA_00971	hydroxyacylglutathione hydrolase	24892	3002	2850	56978	10428	16580	6	36895587559	50464165083	31	13351	1300	25002	21307	3	158868833	37870186788	25	0.5388878145578435	1.0
	1050224	1050370		+	-	CCNA_00972	hypothetical protein	8700	0	0	19914	0	0	10	5564612167	4350035596	45	0	0	0	0	0	0	244	0	1.0	1.0
	1050782	1050375		-	-	CCNA_00973	putative phosphatase	12764	15850	3950	29216	55059	22979	14	14244404742	84542986342	87	32846	7599	61511	124553	20	143838770958	615092713234	228	0.6523206151075144	1.0
	1051388	1054555		+	-	CCNA_00974	OAR protein precursor	34850	0	1950	79772	0	11344	2	133075832534	58893532552	9	16400	50	30712	819	1	23995555640	22017075259	4	0.6307927024077206	1.0
	1056786	1055002		-	sppA	CCNA_00976	signal peptide peptidase A	410060	47195	101640	938631	163945	591308	56	25898871004157	69602529721511	316	248345	28047	465082	459711	31	389848968	21735681389494	259	0.5334570313598613	1.0
1057036			1056960	-	-	CCNA_R0021	tRNA-Pro	24246	0	0	55499	0	0	57	65123671013	23410359891	240	0	0	0	0	0	0	244	0	1.0	1.0
1057201			1057274	+	-	CCNA_R0022	tRNA-Gln	11074	0	864	25348	0	5026	29	8066706418	8827184085	136	9042	0	16933	0	24	6133740341	6927457975	114	0.539569752253962	1.0
	1057369	1057779		+	-	CCNA_00977	transposase, IS4/5 family	13966	16482	8485	31968	57255	49362	17	7386621759	167388399915	112	4628	68	8666	1114	2	883309213	1851789235	11	9.44044417609346E-5	0.0014663199414198397
	1057794	1058162		+	-	CCNA_00978	transposase, DDE family	10189	100	252	23322	347	1466	5	7408732044	6311683866	22	2998	0	5614	0	1	433528631	615810787	7	0.6770471230486748	1.0
	1058314	1059390		+	-	CCNA_00979	RND family efflux transporter, MFP subunit	10350	8099	0	23691	28134	0	3	10745906969	20808903373	16	2550	0	4775	0	0	293968049	445181897	2	0.005456501486316711	0.06226203511621163
	1059395	1060600		+	lolE	CCNA_00980	ABC-type transport system involved in lipoprotein release, permease component LolE	3300	0	1350	7553	0	7853	0	570204656	2825914304	4	0	0	0	0	0	0	244	0	1.0	1.0
	1060597	1061301		+	lolD	CCNA_00981	ABC-type transport system involved in lipoprotein release, ATPase component LolD	0	0	2299	0	0	13374	0	2140334537	2169269656	6	0	0	0	0	0	0	244	0	1.0	1.0
	1061622	1062050		+	-	CCNA_00982	ROS/MUCR transcriptional regulator	157307	13395	2366	360077	46531	13764	73	4737032440913	2037489706389	326	67376	3299	126177	54073	33	198548433321	567586378759	210	0.5763830425164664	1.0
